"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-3.11884854793044,0.173604161472163,-17.9652867850782,0.00000000000000000000000000000000000000000000000000000000000000000000000364390025216703
"2","faixa_etaria25-34",-0.254082305354738,0.0888265260347679,-2.86043276369141,0.00423063251958799
"3","faixa_etaria35-49",-0.689442637051781,0.0886634955421135,-7.77594694227129,0.00000000000000748850913162994
"4","faixa_etaria50-64",-0.879178358583501,0.100763924968167,-8.72513013820421,0.00000000000000000265874697786451
"5","faixa_etaria65+",-0.798136805272195,0.141798192225114,-5.62868110479926,0.0000000181592771483316
"6","sexoMulher",0.734937957774408,0.0635393472546666,11.5666589212629,0.000000000000000000000000000000608046240166868
"7","corParda",-0.11550061666017,0.0705915035111862,-1.63618298116949,0.101801297187414
"8","corPreta",0.0238036257508738,0.103251436493015,0.230540383353253,0.817671887070652
"9","casaCasa",-0.850724739464683,0.0714200688106871,-11.9115642652165,0.0000000000000000000000000000000103026125211751
"10","EstratoInterior Urbano",-1.17754608406618,0.119338468286311,-9.86728002274226,0.0000000000000000000000577082163350274
"11","EstratoRM da Capital",-0.589440125738711,0.0909956675634686,-6.4776724158607,0.0000000000931483075006044
"12","decil_renda2",0.131941984094479,0.169762251329981,0.777216271937935,0.437031183557399
"13","decil_renda3",0.258397216047311,0.169749690197484,1.52222496398489,0.127952722040444
"14","decil_renda4",0.496286194694678,0.160779348112203,3.08675337051581,0.00202355411703032
"15","decil_renda5",0.666305940348708,0.157425896941108,4.23250528213899,0.0000231102483690914
"16","decil_renda6",0.609607404570466,0.157314387692284,3.87508996165624,0.000106585315461839
"17","decil_renda7",0.602280460598507,0.156849273819764,3.83986770184598,0.000123100629342131
"18","decil_renda8",0.843697568176368,0.149711592844535,5.6354858841993,0.000000017456544352465
"19","decil_renda9",1.04483256668066,0.148426016260418,7.03941662658026,0.00000000000193046350310415
"20","decil_renda10",1.21710685868117,0.146257732771562,8.32165818256016,0.0000000000000000867411563734047
"21","RMManaus",0.25927508441502,0.172866675797748,1.49985578896866,0.133651762310305
"22","RMBelém",-1.20060365667933,0.717729351000166,-1.67278049170801,0.0943705166616418
"23","RMSão Luís",0.242073104491613,0.266741680460577,0.907518855222142,0.364132483157434
"24","RMFortaleza",0.00564765758483541,0.183425940303561,0.0307898521631609,0.975437133385234
"25","RMRecife",0.843949578687538,0.145483777865907,5.80098751261057,0.00000000659255102635378
"26","RMMaceió",-0.159485193958497,0.251820308503319,-0.633329356581241,0.526518586463144
"27","RMSalvador",0.599932280236546,0.165750720153615,3.61948521056523,0.000295189680691632
"28","RMBelo Horizonte",0.815685396662232,0.152012757656365,5.36590092330371,0.0000000805461489948227
"29","RMVitória",0.333512872616218,0.192374640781725,1.7336633937871,0.0829778252237999
"30","RMRio de Janeiro",0.223677823924116,0.139149686445144,1.6074619328179,0.107953073575259
"31","RMSão Paulo",0.244498865020784,0.15460980347742,1.58139302632573,0.113788200993334
"32","RMCuritiba",-0.799229433997629,0.352414947929901,-2.26786473925789,0.023337452067439
"33","RMFlorianópolis",0.138732867419463,0.330894535303027,0.419266118409645,0.675021655383084
"34","RMPorto Alegre",1.26718683474449,0.146200729493575,8.6674453618248,0.00000000000000000441923592802151
"35","RMCampo Grande",0.926978099166429,0.18955751333576,4.89022082456045,0.00000100722918335434
"36","RMCuiabá",0.965244558740802,0.243720042141816,3.96046443393911,0.0000748041341652788
"37","RMGoiânia",1.12125464760578,0.194974845546648,5.75076566652552,0.00000000888401814436313
"38","RMBrasília",-0.00422852528120877,0.168876054449136,-0.0250392235595625,0.980023677530709
