Modo,UF,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Taxi,MA,0.06176294223,4.099236349,4.745390008,0.5291036569,43.57086994,55.51824206,6.190198244,1032.079986,1580.465674,176.2194817,5003,309
Taxi,MG,0.06875874475,3.482113101,4.117361225,0.4357325479,75.48320291,110.2836051,11.67110525,1277.901749,1946.992292,206.0465103,5003,344
Taxi,MS,0.01599040576,3.419847802,3.282842817,0.7193714322,33.1313796,79.75098402,17.4758838,854.7898011,1134.675429,248.6421476,5003,80
Taxi,MT,0.01659004597,2.871643351,2.659567885,0.5721634682,54.54785965,71.49638472,15.38130298,1053.685559,2271.451049,488.6663422,5003,83
Taxi,PA,0.07575454727,5.065085265,5.061520085,0.5102501676,26.76233159,43.60247613,4.395551214,839.9193788,935.1781512,94.27500046,5003,379
Taxi,PB,0.0341794923,5.045225057,4.817602679,0.7241934797,22.57698661,37.15536368,5.585282537,792.354069,843.5133799,126.7989352,5003,171
Taxi,PE,0.0969418349,5.934955951,5.575206345,0.4961787582,26.49904833,69.82647072,6.214372955,934.7289398,1269.797084,113.0086137,5003,485
Taxi,PI,0.03298021187,4.272190174,4.831102356,0.7371440394,64.77552096,84.90917243,12.95569535,1301.320564,1950.436407,297.6034176,5003,165
Taxi,PR,0.01419148511,2.340003273,2.357857136,0.5523527986,72.79955983,116.1691276,27.21383826,754.392416,968.2315562,226.8184113,5003,71
Taxi,RJ,0.04357385569,5.78357272,5.023544578,0.668387755,47.57442144,67.52013941,8.983623753,2097.617065,2218.076318,295.1173275,5003,218
Taxi,RN,0.0541674995,5.317819719,5.30940689,0.6333039815,40.64999988,70.03627443,8.353899477,942.3763622,1392.720412,166.1231471,5003,271
Taxi,RO,0.0177893264,2.229339634,2.601246831,0.5434859476,68.77253367,122.4187435,25.57729856,945.0927726,2021.303077,422.3166388,5003,89
Taxi,RR,0.004997001799,2.967247188,2.425023864,0.9505918878,75.78346935,120.9259484,47.40210078,1283.893076,724.3743783,283.9495388,5003,25
Taxi,RS,0.03737757346,4.72104534,4.654689719,0.6689325908,45.981598,69.23929416,9.950485043,1346.184409,1199.952979,172.447081,5003,187
Taxi,SC,0.008394963022,3.938422363,4.273070349,1.292300431,44.0410044,57.65403809,17.4362536,926.7990302,735.07361,222.3075833,5003,42
