Modo,decil_renda,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,3,Salvador,0.003357958361,4.226368497,2.947692129,2.583718596,19.19110275,4.829009215,4.232735429,1093.783557,958.7510069,840.366869,1489,5
Aplicativo,3,Vitoria,0.002014775017,4.333333333,0,0,17.08943263,17.0203535,23.58857303,888.6504967,885.0583821,1226.605798,1489,3
Aplicativo,3,Zona Rural,0.001343183345,4.333333333,0,0,29.30981941,10.56417531,14.64093098,1524.110609,549.3371162,761.3284108,1489,2
Aplicativo,4,Belo Horizonte,0.003357958361,5.300581615,1.93792558,1.698635455,26.69776572,15.99206897,14.01740894,1622.744801,854.5548907,749.0366245,1489,5
Aplicativo,4,Brasil Urbano,0.0241773002,5.125216125,5.64695451,1.844637912,35.27457477,70.13518118,22.91040488,906.899089,652.4837457,213.1407738,1489,36
Aplicativo,4,Brasilia,0.002686366689,4.333333333,0,0,47.206527,38.86393047,38.08595204,2454.739404,2020.924384,1980.469506,1489,4
Aplicativo,4,Campo Grande,0.003357958361,6.641806164,3.875851161,3.397270909,13.91282367,5.452433402,4.779180781,961.7012268,330.6293555,289.8040829,1489,5
Aplicativo,4,Cuiaba,0.001343183345,4.333333333,0,0,26.96766,4.193143212,5.811293219,1402.31832,218.043447,302.1872474,1489,2
Aplicativo,4,Goiania,0.002686366689,6.459531964,2.501851166,2.451769092,31.40231023,9.975738903,9.776044493,2325.948991,733.6518029,718.965556,1489,4
Aplicativo,4,Maceio,0.001343183345,4.333333333,0,0,12.04940047,0.04242640687,0.05879891958,626.5688247,2.206173157,3.057543818,1489,2
Aplicativo,4,Manaus,0.004701141706,6.170395599,3.409448434,2.525708337,18.45379299,11.76721732,8.717116411,1349.51641,1103.873919,817.7462173,1489,7
Aplicativo,4,Porto Alegre,0.006715916723,8.384936631,5.938054717,3.680376818,14.6917478,8.29326203,5.140122612,1462.041418,1170.561425,725.5081571,1489,10
Aplicativo,4,Recife,0.007387508395,5.23529521,7.43184521,4.606220746,29.80896963,22.26112444,13.79733435,722.9221281,634.9884793,393.5627054,1489,11
Aplicativo,4,Rio de Janeiro,0.004029550034,5.890461131,2.237723711,1.961415274,22.1762,14.34455451,12.57332538,1787.691206,1519.557734,1331.926607,1489,6
Aplicativo,4,Salvador,0.002686366689,4.969003272,3.403429643,3.335299765,26.49467969,17.8086039,17.45211114,1571.911854,975.4938892,955.9664458,1489,4
Aplicativo,4,Sao Luis,0.002014775017,4.333333333,0,0,15.41930275,9.013325321,12.49160204,801.803743,468.6929167,649.5633062,1489,3
Aplicativo,4,Sao Paulo,0.003357958361,10.70315925,7.251053563,6.355711896,20.93638756,26.22266829,22.98475985,2031.432141,1359.03634,1191.225986,1489,5
Aplicativo,4,Vitoria,0.001343183345,4.333333333,0,0,14.63708129,8.11051478,11.24039346,761.1282269,421.7467686,584.5004599,1489,2
Aplicativo,4,Zona Rural,0.002014775017,0.6007733514,4.811252243,6.667932889,150.7392302,83.53529149,115.77188,637.4727297,287.68453,398.7030907,1489,3
Aplicativo,5,Brasil Urbano,0.02552048355,5.034420393,5.289388956,1.704326252,21.89871034,21.95582249,7.074519375,1007.112292,910.1674474,293.2706002,1489,38
Aplicativo,5,Brasilia,0.002686366689,4.973836657,3.403429643,3.335299765,33.70299359,13.49308241,13.22297779,1689.865204,1014.368309,994.0626775,1489,4
Aplicativo,5,Campo Grande,0.002014775017,8.666596024,7.505553499,10.40197531,23.07748177,9.38120106,13.00144244,2268.611632,1755.375849,2432.782104,1489,3
Aplicativo,5,Cuiaba,0.002686366689,7.339907053,9.521904571,9.33129502,21.87291459,24.4200639,23.93122289,1180.922091,1438.567727,1409.770468,1489,4
Aplicativo,5,Fortaleza,0.004701141706,2.614600427,3.248931448,2.406797875,27.14730431,16.12577632,11.94592277,1000.010928,1997.785533,1479.95304,1489,7
Aplicativo,5,Goiania,0.003357958361,2.723841169,1.788854382,1.567971189,44.40326174,19.73591219,17.29897191,979.4003229,648.3683209,568.3094483,1489,5
Aplicativo,5,Manaus,0.001343183345,6.127191091,3.064129385,4.246588637,22.0713801,14.0042498,19.40854337,1372.984423,343.4276215,475.9576544,1489,2
Aplicativo,5,Porto Alegre,0.002686366689,6.766975593,2.601637661,2.54955806,21.77514036,12.00492425,11.76460959,1592.345844,1201.109755,1177.065931,1489,4
Aplicativo,5,Recife,0.008730691739,4.976214254,2.540273893,1.43726885,33.41920993,22.36913242,12.65629558,1735.907496,1245.742269,704.8320905,1489,13
Aplicativo,5,Rio de Janeiro,0.002686366689,11.10080563,10.83333333,10.61647159,17.24454896,6.164495113,6.041094207,1693.383384,985.1367062,965.4162328,1489,4
Aplicativo,5,Salvador,0.004029550034,4.793439678,1.769075925,1.550634926,34.02048494,22.00381386,19.28683884,1911.210471,1244.243344,1090.607338,1489,6
Aplicativo,5,Vitoria,0.002686366689,4.333333333,0,0,15.89271922,6.605383537,6.473156923,826.4213994,343.4799439,336.60416,1489,4
Aplicativo,5,Zona Rural,0.002686366689,7.865587505,10.47881461,10.26904962,31.2563377,20.83791431,20.4207808,1965.297846,1707.297138,1673.120452,1489,4
Aplicativo,6,Belo Horizonte,0.007387508395,7.372253823,6.606088407,4.094420781,32.3744727,32.92402551,20.40614747,1585.721917,983.7544801,609.7261403,1489,11
Aplicativo,6,Brasil Urbano,0.0241773002,6.487020458,5.34261758,1.745223008,25.34525719,18.82312099,6.148773206,1587.714093,1376.917731,449.7848609,1489,36
Aplicativo,6,Brasilia,0.004029550034,11.21944019,11.06880836,9.702060033,40.93337812,59.62229972,52.26028967,1966.268175,1772.05184,1553.243382,1489,6
Aplicativo,6,Campo Grande,0.004029550034,14.43782176,11.18861856,9.80707637,19.0895524,10.55218777,9.249230437,2867.213416,1790.627763,1569.525597,1489,6
Aplicativo,6,Cuiaba,0.001343183345,6.531645695,3.064129385,4.246588637,18.71558378,10.83641142,15.01822404,1267.740247,152.9613389,211.9897047,1489,2
Aplicativo,6,Fortaleza,0.003357958361,3.589459078,1.788854382,1.567971189,27.90260451,24.74348662,21.68822377,818.5828073,614.1174211,538.2877626,1489,5
Aplicativo,6,Goiania,0.002014775017,4.333333333,0,0,22.43035533,11.22051247,15.55055115,1166.378477,583.4666482,808.6286598,1489,3
Aplicativo,6,Maceio,0.001343183345,4.333333333,0,0,52.83025029,42.60318357,59.04391508,2747.173015,2215.365545,3070.283584,1489,2
Aplicativo,6,Manaus,0.002686366689,4.812524047,3.403429643,3.335299765,24.7922055,4.490708927,4.400813884,1352.445379,803.8268119,787.7358012,1489,4
Aplicativo,6,Porto Alegre,0.009402283412,7.546954732,6.186163615,3.240451127,23.09459546,51.20319725,26.82138213,1200.017717,1093.053748,572.5660477,1489,14
Aplicativo,6,Recife,0.008730691739,4.805317459,5.766466574,3.262625658,30.34332729,41.4466422,23.45021454,1100.205641,1337.758391,756.8941561,1489,13
Aplicativo,6,Rio de Janeiro,0.007387508395,7.94343793,9.257156664,5.737539718,55.93826939,42.43379751,26.30025692,4188.877714,3985.741808,2470.342975,1489,11
Aplicativo,6,Salvador,0.004701141706,4.34507837,2.407000373,1.783098066,35.04593001,31.04912636,23.00109206,2019.805343,1865.443829,1381.914735,1489,7
Aplicativo,6,Sao Paulo,0.005372733378,12.95898411,9.100736932,6.741796388,20.70376178,4.560691544,3.378545497,3289.882582,2395.150462,1774.31969,1489,8
