Modo,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Taxi,Rio de Janeiro,0.03757745353,5.949495655,5.217200875,0.7457731186,45.66357533,63.76780409,9.115292906,2175.283423,2320.815853,331.7491731,5003,188
Taxi,Salvador,0.01838896662,6.435499925,6.30177551,1.287707146,45.27477279,78.37885343,16.01596399,1533.081073,1565.297984,319.8535709,5003,92
Taxi,Sao Luis,0.008794723166,5.744350686,5.269615859,1.557043374,30.30529697,48.28367522,14.26665217,1289.626124,1020.545723,301.5464501,5003,44
Taxi,Sao Paulo,0.01838896662,4.49303539,4.467717903,0.9129351342,164.1292955,519.8599586,106.2283768,1962.657453,2411.333998,492.7328839,5003,92
Taxi,Vitoria,0.005796522087,4.362498431,1.577933494,0.584464006,31.90443571,44.8018839,16.59454511,1220.67141,1128.366315,417.9450522,5003,29
Taxi,Zona Rural,0.2020787527,3.270419854,3.309264331,0.2039876956,47.92467534,83.24690494,5.131455999,967.8415383,1494.308977,92.11130158,5003,1011
Transporte Privado,Belem,0.004444444444,5.091646285,4.472048124,0.684435671,123.3538859,184.2566101,28.20000883,3608.913354,3930.574214,601.5644566,36902,164.0088889
Transporte Privado,Belo Horizonte,0.01731707317,5.500211071,5.736410011,0.4447724182,245.062789,493.2917804,38.24736684,5235.510759,5511.283679,427.3172532,36902,639.0346341
Transporte Privado,Brasil Urbano,0.4792411924,4.87314442,4.039525409,0.05953716934,211.1804824,448.0264076,6.603306427,4402.110407,4987.784917,73.51323859,36902,17684.95848
Transporte Privado,Brasilia,0.02579945799,5.214871303,4.73532175,0.3008008855,297.1197058,693.2976775,44.04020811,7369.826196,8655.608087,549.8284414,36902,952.0515989
Transporte Privado,Campo Grande,0.01224932249,5.910482643,5.12346033,0.472326434,195.1269234,413.2732905,38.09923119,5256.253895,5055.771598,466.0862809,36902,452.0244986
Transporte Privado,Cuiaba,0.006612466125,6.170618583,5.422551971,0.6803884009,250.0186183,506.1340016,63.50657511,5525.186019,5288.915924,663.6205734,36902,244.0132249
Transporte Privado,Curitiba,0.01398373984,4.737401737,3.960804247,0.3417485019,267.4197409,703.4131832,60.69232071,5525.14221,6254.71048,539.6727037,36902,516.0279675
Transporte Privado,Florianopolis,0.005853658537,4.660241488,3.390961792,0.4522141132,294.9929146,641.3463965,85.52909462,5530.037462,5271.571907,703.009754,36902,216.0117073
Transporte Privado,Fortaleza,0.01726287263,5.169820876,4.678587234,0.36332318,154.0108498,289.6958726,22.49679666,4024.407133,3962.750106,307.733702,36902,637.0345257
Transporte Privado,Goiania,0.0106504065,5.9832855,4.99098129,0.4934438698,202.8552061,423.0404811,41.82478755,5291.597783,5107.560018,504.9696711,36902,393.0213008
Transporte Privado,Maceio,0.00701897019,5.539133019,5.33320114,0.6495104945,143.3318774,203.4511387,24.77754846,4798.831168,4550.659988,554.2077528,36902,259.0140379
Transporte Privado,Manaus,0.01577235772,5.253809962,5.098056814,0.4141820469,253.5178837,758.1434078,61.59393666,5041.293963,5557.347169,451.4962288,36902,582.0315447
Transporte Privado,Porto Alegre,0.01433604336,4.737551063,4.255578169,0.3626426065,268.8446696,422.4545486,35.99981309,5637.460313,5399.987078,460.1643564,36902,529.0286721
Transporte Privado,Recife,0.01569105691,5.339100959,5.097394046,0.4151996865,248.3936128,628.136599,51.16381362,4818.616386,5282.722669,430.2953187,36902,579.0313821
Transporte Privado,Rio de Janeiro,0.02027100271,5.311806874,5.353716739,0.3836654412,238.7182538,463.5143149,33.21700284,5524.374893,4914.10832,352.1616157,36902,748.040542
Transporte Privado,Salvador,0.009756097561,6.142004247,6.065684401,0.6265801771,278.5277381,530.4577619,54.79584766,6454.319133,7188.428087,742.5586704,36902,360.0195122
