"","Modo","UF","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","AC",0.0114170584284755,3.34058895707498,2.4096415810281,87.7178642464589,127.151052744248,1198.93297453911,1102.62604511977
"2","Aplicativo","AL",0.0181329751511081,3.79748205997524,2.55301496407175,54.8986301347975,63.2476922746014,1295.14729770763,1079.18702862327
"3","Aplicativo","AM",0.0396239086635326,6.11821331282812,3.71458863297863,19.1209357949195,15.9715528137932,1252.71527026172,1107.18197439364
"4","Aplicativo","AP",0.00604432505036938,5.68953144406104,5.64975690507297,51.0285220443514,95.3962570315666,961.939959591181,537.115451193792
"5","Aplicativo","BA",0.0644728005372733,4.3083095031588,3.04965405637226,60.2839413793473,103.723038200254,1276.13499807099,1121.65344167267
"6","Aplicativo","CE",0.0443250503693754,5.00053404739231,6.74828054687195,26.6545994518657,33.111091603087,1099.98727472278,1531.14463740003
"7","Aplicativo","DF",0.058428475486904,6.90355697242701,7.04078780973227,60.427784061201,104.104598567791,1983.64418177095,2245.61891855748
"8","Aplicativo","ES",0.0342511752854265,4.99963680443333,4.4323626634061,29.801475444775,32.7012731781455,1405.53910891304,1497.3170696093
"9","Aplicativo","GO",0.0396239086635326,7.26319222527458,6.48814651481763,27.4641212480315,41.785319210343,1678.73163423666,1582.89739617158
"10","Aplicativo","MA",0.0194761584956347,5.13794536795456,5.43091154585841,36.0251095577128,55.8379381263426,1148.98503980174,987.92629646911
"11","Aplicativo","MG",0.0846205507051713,6.49524231059285,6.63141420218852,36.2656040842234,59.9685734592697,1497.88168196812,1623.25885422638
"12","Aplicativo","MS",0.048354600402955,6.91383539727613,7.16143766002138,31.0184896892513,38.5099001112873,1402.33871954957,1421.54712597444
"13","Aplicativo","MT",0.0201477501678979,6.50301201218561,4.7418680811581,38.7326281417154,78.99513752456,1457.06778107984,835.486086455202
"14","Aplicativo","PA",0.00268636668905306,3.94746782356478,3.40342964277702,18.4931304570257,22.329620229268,498.030764294578,689.92487194863
"15","Aplicativo","PB",0.0322364002686367,4.99289240306315,4.18145720035025,41.2609233973613,59.4119793720745,1381.70067542109,913.933181169085
"16","Aplicativo","PE",0.0960376091336467,5.45102955297535,5.16175106043203,27.8915028285805,25.5169511906582,1294.15678991604,1472.47374481889
"17","Aplicativo","PI",0.0141034251175285,4.63566309591194,2.65064632230064,36.8679648736737,62.9265476293402,869.763535675651,428.821598318884
"18","Aplicativo","PR",0.0134318334452653,6.23199280960037,5.82191865643151,34.1447958965163,40.571380095197,1540.8605733594,1638.12757919201
"19","Aplicativo","RJ",0.0779046339825386,7.20786159973176,6.15452090766334,38.6134129338231,50.5687391409001,2453.89332545875,2431.68531033752
"20","Aplicativo","RN",0.0470114170584285,7.96382394579089,6.81476124192543,40.0351382736877,51.7114323869841,1716.92799590735,1411.86574705007
"21","Aplicativo","RO",0.00873069173942243,5.6243397953592,8.23895271744788,36.6027159673715,45.9416438388803,1147.67719846886,2129.04409790656
"22","Aplicativo","RR",0.000671591672263264,4.33333333333333,NA,5.84,NA,303.68,NA
"23","Aplicativo","RS",0.0920080591000672,7.80390835945133,6.43976986723452,38.1754830240131,76.5992426106545,1939.39480933618,1596.70406064564
"24","Aplicativo","SC",0.0268636668905306,5.56442012782212,6.50110115590553,50.478903042069,63.6682888048905,1270.87361520609,1071.37195201915
"25","Aplicativo","SE",0.0188045668233714,7.25217731217574,7.48083972311685,24.8590449756064,28.9042566747614,1285.63163788675,1202.94952354927
"26","Aplicativo","SP",0.0779046339825386,8.38333920266763,9.60018150475316,36.6255987076135,62.9113739248744,2432.05057766381,3122.35604620994
"27","Aplicativo","TO",0.00268636668905306,0.333333333333333,0,38.3668947550992,2.4652856494397,153.467579020397,9.86114259775882
"28","Táxi","AC",0.0255846492104737,3.82066499553945,5.22029924655039,91.9307123054842,118.549900351307,1420.58745629436,2494.11615954888
"29","Táxi","AL",0.0359784129522287,4.384570512315,4.37300238650804,61.1621818820253,148.472904651254,1073.87524996039,1516.15384205222
"30","Táxi","AM",0.0531680991405157,4.90449012866874,5.15087051209412,42.9025322957567,192.964319934092,792.83955085964,1176.08636651869
"31","Táxi","AP",0.0377773335998401,5.92872890051811,5.93810137537775,37.9539061518252,58.9925836584203,1523.92618024318,3143.99271673129
"32","Táxi","BA",0.0843493903657805,4.79906259748526,4.96637901589225,40.3945861539047,88.1604004095088,1031.32268967155,1631.32838333646
"33","Táxi","CE",0.0461722966220268,4.28616663919457,4.76371268772787,32.759139261559,42.2919075880364,735.481378327976,851.687106194903
"34","Táxi","DF",0.00799520287827304,1.82853380303326,2.37086722445847,155.67280078027,163.298424138955,1356.3695218766,1727.39135237576
"35","Táxi","ES",0.0179892064761143,3.38774909043132,2.78643096646305,90.4766800907119,131.741440972888,1492.31314596245,1414.77786838384
"36","Táxi","GO",0.0149910053967619,3.88865498036752,4.3683867505983,52.8532071175968,138.219293626942,831.077015453211,1319.56856828764
"37","Táxi","MA",0.0617629422346592,4.09923634903276,4.74539000814537,43.5708699392241,55.5182420596723,1032.07998572975,1580.46567373644
"38","Táxi","MG",0.0687587447531481,3.48211310135955,4.11736122503352,75.4832029051533,110.28360505728,1277.90174948086,1946.99229176471
"39","Táxi","MS",0.0159904057565461,3.41984780247501,3.28284281713659,33.1313795992648,79.7509840198607,854.789801134864,1134.67542890277
"40","Táxi","MT",0.0165900459724166,2.8716433511422,2.65956788509393,54.547859646369,71.4963847211343,1053.68555879938,2271.45104926544
