"","Modo","CONDICAO","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Cônjuge",0.210879785090665,5.74003537398998,4.81327207330062,36.3778188985997,61.0913284405055,1536.28319058433,1375.76913629741
"2","Aplicativo","Filho(a)",0.265278710543989,6.38404093263631,5.50781139377429,35.0440465957905,50.0482506647834,1657.29107276929,1750.92918539615
"3","Aplicativo","Neto(a)",0.0235057085292142,4.86707492138551,2.28104682178481,20.0224186748129,15.5990680643789,998.160059617284,676.896893938208
"4","Aplicativo","Outro Parente",0.0570852921423774,8.77447138315892,10.0227456847569,30.7854643024293,23.357169646153,2384.2145604715,2777.65368705037
"5","Aplicativo","Pai ou Mãe",0.00470114170584285,5.55994806082148,2.31626409657434,16.0162638269164,6.79231717597519,1120.27861597491,810.732516091232
"6","Aplicativo","Referência",0.438549361987911,7.36389695749423,6.8807315360086,44.0228939558787,75.6014160508395,1997.55369710413,1830.91475427559
"7","Táxi","Avô ou Avó",0.000999400359784129,3.50296142977053,2.19089023002066,93.4478744607916,174.17541410888,1047.59020883737,359.246649977421
"8","Táxi","Cônjuge",0.229062562462522,4.33810341490953,4.36303210005419,40.8458424181912,74.4048163188279,1057.22241224612,1616.97632187977
"9","Táxi","Filho(a)",0.190885468718769,4.76769921342231,5.25424077975073,41.538506957629,86.5507550032297,904.947343954344,1369.93935365291
"10","Táxi","Neto(a)",0.0149910053967619,5.35295013137914,7.20067842427155,27.787687291545,38.4204787435931,772.037173796711,1079.60813656314
"11","Táxi","Outro Parente",0.0395762542474515,4.85118971353011,4.98363099039467,37.4640784094804,92.2612168099591,1040.8496926787,1393.82412144885
"12","Táxi","Pai ou Mãe",0.0149910053967619,4.36733325507672,5.18178066410099,49.8398111003249,85.2934565460917,1590.5787051224,3437.54425542417
"13","Táxi","Referência",0.509494303417949,4.67159886526095,4.80663536859352,70.008284953032,146.794028460556,1365.6254148782,1774.0181078529
"14","Transporte Privado","Avô ou Avó",0.00013550135501355,4.72880125152079,5.49747416749021,408.106826235788,1224.24368113769,3382.42512580513,4326.48597505181
"15","Transporte Privado","Cônjuge",0.205474254742547,4.88159847121334,4.10727920375182,206.363082384746,503.79591087678,4435.97534396264,5070.28072258718
"16","Transporte Privado","Filho(a)",0.156585365853659,4.9741048513694,4.08443523398827,155.319316871785,365.290625235137,3571.66473976841,4178.86910420898
"17","Transporte Privado","Neto(a)",0.00888888888888889,4.41606957721832,3.48696799281022,126.901733973776,269.96195929221,2478.57815781616,2607.42219880372
"18","Transporte Privado","Outro Parente",0.0182926829268293,5.19853564895247,4.22672679232722,170.93725233135,354.424647393105,4064.91525218876,4919.84908407464
"19","Transporte Privado","Pai ou Mãe",0.00523035230352304,4.38332373968551,4.98841430216537,294.337461968371,472.275752370791,5001.98057537279,4477.36340575574
"20","Transporte Privado","Referência",0.605447154471545,5.10414149626754,4.37130158321727,234.869946137709,494.897938724814,4965.41848790827,5523.48856237352
"21","Transporte Público","Avô ou Avó",0.000158346858794189,8.32609790781726,6.3150320371024,21.5208003226486,35.7060278524509,1538.33720008456,1438.95145194918
"22","Transporte Público","Cônjuge",0.242429040813903,9.68291270039627,8.86379268603859,42.6632397220157,112.597217598156,1301.54706872255,1420.58424914123
"23","Transporte Público","Filho(a)",0.263409999604133,11.8931158652018,10.2051321539366,28.7895977543944,72.4569499848039,1374.69644026051,1410.40921174258
"24","Transporte Público","Neto(a)",0.0234749218162385,11.0211988552557,9.66627909260767,28.620851405936,64.3504028682138,1115.7973957696,1330.38572419987
"25","Transporte Público","Outro Parente",0.0408139028542021,11.3960581571104,10.4994753929849,48.8804796317757,104.021647227365,1487.95055608643,1331.17703823643
"26","Transporte Público","Pai ou Mãe",0.0121927081271525,8.23059689970572,9.18229749248428,51.0574534820779,128.839868273975,1119.13243105017,1047.30343294302
"27","Transporte Público","Referência",0.417560666640276,10.3846874535326,9.96816533449748,47.0278640352818,132.55341650577,1406.06204850198,1622.43929600476
