"","Modo","status_pessoa","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Nem-Nem",0.0577568838146407,4.43979935074284,2.94532690891779,28.7407708816243,31.2273861186461,1072.48478094152,902.695139765877
"2","Aplicativo","Só Estuda",0.0449966420416387,5.58420653134204,4.92891832872597,33.67978454554,47.9419432904354,1188.60491669296,1200.06713499736
"3","Aplicativo","Só Trabalha",0.719274680993956,6.97718955418434,6.59315752000359,39.888873074318,66.0964842467381,1922.29974193001,1835.69096250055
"4","Aplicativo","Trabalha e Estuda",0.177971793149765,7.25006917382424,6.1766200533669,39.0265154506541,63.1302577963903,1816.83392426524,1848.93910981462
"5","Táxi","Nem-Nem",0.0773535878472916,4.0264928350808,3.02160659397853,38.047719905702,162.388026620348,1084.76405176584,1290.36216856776
"6","Táxi","Só Estuda",0.0415750549670198,5.33475183273125,5.00381553702457,28.0614872085643,89.2906509914727,710.319550719783,731.718211381801
"7","Táxi","Só Trabalha",0.804517289626224,4.64737405001265,4.92993588844465,59.127812381105,117.07619798592,1232.73668459921,1745.40482575353
"8","Táxi","Trabalha e Estuda",0.0765540675594643,4.58903648508703,5.49384351021232,54.7458916950682,103.600414437213,1124.37294920382,1776.61676592502
"9","Transporte Privado","Nem-Nem",0.0337669376693767,3.9929836284763,3.32935851937799,161.906695884782,388.609157721716,3219.98882815919,3757.67646662749
"10","Transporte Privado","Só Estuda",0.00951219512195122,4.45140102215604,3.65488839750398,97.7315201428644,175.274605764207,2645.64750112657,2990.22812871892
"11","Transporte Privado","Só Trabalha",0.88780487804878,5.0555989368941,4.29875593267983,220.84610927015,488.60425013923,4686.49192949367,5309.96092252144
"12","Transporte Privado","Trabalha e Estuda",0.0689159891598916,5.26629619786004,4.32407530147755,181.494461181107,360.781510256636,4478.48134449202,4929.69829621278
"13","Transporte Privado",NA,0.0000542005420054201,0.333333333333333,0,108.922611254147,40.2060915782671,435.690445016586,160.824366313068
"14","Transporte Público","Nem-Nem",0.089347215074621,6.67363275098927,6.61182004958282,34.1417054364423,84.7040869553054,862.978960536376,1121.37105024486
"15","Transporte Público","Só Estuda",0.074304263489173,10.0060638618394,8.66391688417507,22.5269599331502,56.5780444026598,1034.2826409949,1125.31488717861
"16","Transporte Público","Só Trabalha",0.738054708839713,10.7909342798883,10.0047028345888,43.5263621516351,120.209524891005,1422.48496683559,1547.7980770694
"17","Transporte Público","Trabalha e Estuda",0.0982938125964926,13.4497307590054,10.902258029451,39.8723231199684,101.490153550868,1621.54501379748,1554.53580073476
"18","Transporte Público",NA,0.0000395867146985472,4.66666666666667,NA,18.79,NA,1052.24,NA
