"","Modo","escolaridade","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Ensino Fundamental",0.0369375419744795,6.03038850145971,5.59850736347111,40.140059045027,66.8989937389895,1549.11471116869,1266.78714575229
"2","Aplicativo","Ensino Médio",0.233042310275353,5.93133733940476,5.55427543976021,34.3084120636035,44.2788556301859,1570.65286641727,1423.0021656678
"3","Aplicativo","Pós-graduação",0.0342511752854265,8.40337104588808,8.04372581920009,37.5326826326122,54.2943762784575,2008.12501646241,1859.51092940786
"4","Aplicativo","Superior",0.298186702484889,7.3439632207615,7.28886291244502,43.2734189353768,75.1585844358265,2149.83870402936,2170.51945678535
"5","Aplicativo",NA,0.397582269979852,6.71895284969825,5.81881513379983,37.2879419393136,63.0197822210508,1668.04773490867,1666.3433779426
"6","Táxi","Ensino Fundamental",0.0737557465520688,4.55672241642427,4.68706563911882,34.5898058222735,62.0940510197655,1074.85997501284,1961.75408129444
"7","Táxi","Ensino Médio",0.228662802318609,4.99422624986052,5.17021025848088,37.8957920738524,71.0761538599115,1051.62420830477,1578.09425303696
"8","Táxi","Pós-graduação",0.0111932840295823,5.31335005836989,6.69542498492185,100.68218856872,110.646997186986,2000.65819500463,1956.52436807139
"9","Táxi","Superior",0.147911253248051,4.7499658221562,5.0884235708157,109.678254099559,209.43225350021,1707.3646983526,2138.32028553833
"10","Táxi",NA,0.538476913851689,4.3923372140345,4.63156624265259,44.7661560229507,105.911974135545,1040.65786290716,1526.09040396259
"11","Transporte Privado","Ensino Fundamental",0.0951219512195122,4.73187255795758,4.13328324607092,235.657308269101,593.386583376497,4282.61063012923,4894.13707250761
"12","Transporte Privado","Ensino Médio",0.26360433604336,5.13953731355496,4.41683330083888,206.765317136079,459.043171052674,4480.90322827494,5282.34987783948
"13","Transporte Privado","Pós-graduação",0.00994579945799458,5.07091599307519,3.66899637355653,370.929728198327,524.355379560711,7846.87104685665,6677.28555159901
"14","Transporte Privado","Superior",0.157425474254743,5.47334254623799,4.37057525336505,269.596174879065,570.982311891964,6366.69018468092,6342.02678643242
"15","Transporte Privado",NA,0.473956639566396,4.80486217740859,4.17819782027217,184.320821767808,417.373380324809,3799.94248124279,4619.27294576427
"16","Transporte Público","Ensino Fundamental",0.0860615177546415,9.07921175048102,8.90128042686788,47.5311833616155,111.17374771032,1256.55877258823,1413.47752404154
"17","Transporte Público","Ensino Médio",0.27766121689561,12.5525065855272,10.951678309757,34.592980283985,103.709897122007,1489.49167736518,1484.81131063162
"18","Transporte Público","Pós-graduação",0.00407743161395036,5.8818221567027,7.34132729182209,151.767785500121,357.104594240626,1576.74041077001,2238.98525622603
"19","Transporte Público","Superior",0.0946122481295277,11.0537545069565,10.3159285922288,58.9381495636673,150.032013594862,1676.25509002641,1947.98096305728
"20","Transporte Público",NA,0.537627172320969,9.80282426392565,9.15467094634307,37.996326634561,103.918592575015,1244.34421626072,1405.50184490084
