"","Modo","decil_renda","RM","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","1","Belo Horizonte",0.00268636668905306,3.27911736793061,2,19.1709374359233,8.41181064535652,740.967278906849,667.325136446495
"2","Aplicativo","1","Brasil Urbano",0.0154466084620551,4.8735288113765,2.6145264948496,16.0446465487671,14.1936395980568,700.195142486318,1048.29236738884
"3","Aplicativo","1","Brasília",0.00470114170584285,4.96053541683599,2.8995529668222,45.8051181148404,50.2734903635438,1718.68611601469,1388.96618848765
"4","Aplicativo","1","Campo Grande",0.00335795836131632,6.33416013523986,4.83965104343508,14.3467875437878,5.66373085714904,873.223372888683,468.712233593278
"5","Aplicativo","1","Fortaleza",0.00268636668905306,2.29514987059886,2.3094010767585,32.8258338414995,25.258570162752,524.710924001938,896.560183516236
"6","Aplicativo","1","Manaus",0.00335795836131632,4.33333333333333,0,19.7567360681399,22.973250749513,1027.35027554328,1194.60903897468
"7","Aplicativo","1","Porto Alegre",0.00604432505036938,7.65598128159092,3.75277674973257,17.9003506250531,9.10352213584269,1555.18729833336,877.057695935678
"8","Aplicativo","1","Recife",0.00402955003357958,4.33333333333333,0,17.5049434498434,18.5370526244061,910.257059391855,963.926736469116
"9","Aplicativo","1","Rio de Janeiro",0.00604432505036938,4.96591772012427,1.44444444444444,18.5715496129366,8.2416560498752,1084.89947834411,487.208073186167
"10","Aplicativo","1","Vitória",0.00201477501678979,7.59878862059154,2.50185116648838,15.150615283266,7.80435989260704,1246.84298151221,283.04309024128
"11","Aplicativo","2","Brasil Urbano",0.0208193418401612,3.94589945689979,5.57012426691407,52.1972515409421,48.4619311045887,1061.79499994918,788.928100822037
"12","Aplicativo","2","Brasília",0.00134318334452653,4.33333333333333,0,9.53394303423718,1.71119841047145,495.765037780334,88.9823173445151
"13","Aplicativo","2","Campo Grande",0.00134318334452653,4.33333333333333,0,29.1132162690445,18.1302178696231,1513.88724599031,942.7713292204
"14","Aplicativo","2","Cuiabá",0.00201477501678979,4.33333333333333,0,10.6076013734972,5.92658417640381,551.595271421856,308.182377172998
"15","Aplicativo","2","Fortaleza",0.00268636668905306,4.33333333333333,0,11.4329126398157,5.98790656239724,594.511457270415,311.371141244657
"16","Aplicativo","2","Goiânia",0.00402955003357958,11.7013964381103,9.75401152043305,18.8661648295543,10.4403808452507,2409.23052267683,2439.30308229762
"17","Aplicativo","2","Manaus",0.00335795836131632,5.4387805605371,1.93792558049982,14.4115826077821,5.40669307432926,838.810867340909,179.206440509263
"18","Aplicativo","2","Porto Alegre",0.00470114170584285,4.47467021503814,2.4070003725905,33.8923488311207,21.6547907379582,1441.52057638945,1021.55595489943
"19","Aplicativo","2","Recife",0.00402955003357958,4.33333333333333,0,13.8075543752466,3.86152690007463,717.992827512825,200.799398803881
"20","Aplicativo","2","Rio de Janeiro",0.00402955003357958,4.33333333333333,0,11.2112964302452,5.27711284700261,582.98741437275,274.409868044136
"21","Aplicativo","2","Salvador",0.00268636668905306,6.53274958735281,4.33333333333333,22.4304174624603,2.93457975412721,1860.60545446665,1494.59919206901
"22","Aplicativo","3","Belo Horizonte",0.00268636668905306,5.20132431694746,2.16666666666667,20.151588217743,10.3900965467122,1162.61363553675,459.596536540475
"23","Aplicativo","3","Brasil Urbano",0.0201477501678979,4.83971874059786,2.91216675311641,18.5486383989717,17.1117112082846,883.101795688581,488.798244675818
"24","Aplicativo","3","Brasília",0.00470114170584285,4.64944949370878,5.11507782580296,97.1343202443736,159.07833374493,1331.39605515441,1081.82372228346
"25","Aplicativo","3","Campo Grande",0.00268636668905306,5.02036376717121,3.40342964277702,27.2234444475115,37.9887259591579,868.551635514008,559.978564827857
"26","Aplicativo","3","Cuiabá",0.00268636668905306,4.33333333333333,0,13.6314942550344,7.37173882698874,708.837701261788,383.330419003415
"27","Aplicativo","3","Curitiba",0.00134318334452653,4.33333333333333,0,9.19,1.44249783362056,477.88,75.009887348269
"28","Aplicativo","3","Fortaleza",0.00402955003357958,4.35696821549789,0.136082763487955,23.0863066607586,9.21893617326135,1133.33415566528,346.664871867149
"29","Aplicativo","3","Goiânia",0.00201477501678979,5.56161989773661,2.50185116648838,17.0987056106207,9.21226537466943,1057.89926570128,448.437821776888
"30","Aplicativo","3","Maceió",0.00134318334452653,4.33333333333333,0,15.6276007246666,4.32042243304981,812.635237682661,224.66196651859
"31","Aplicativo","3","Manaus",0.00470114170584285,4.33333333333333,0,9.22367206977515,3.28768264022809,479.630947628308,170.959497291861
"32","Aplicativo","3","Porto Alegre",0.00671591672263264,5.46052458233634,6.44683863572385,98.8054996807881,151.055587952434,1882.73458014823,2394.33077252265
"33","Aplicativo","3","Recife",0.00805910006715917,5.44543245825441,2.69352009553493,16.6215397763069,12.0330484311107,968.683707775607,604.819895806707
"34","Aplicativo","3","Rio de Janeiro",0.00268636668905306,4.33333333333333,0,18.0639396662213,6.83008296679721,939.324862643506,355.164314273455
"35","Aplicativo","3","Salvador",0.00335795836131632,4.2263684966484,2.94769212925789,19.1911027512373,4.82900921514963,1093.7835574844,958.751006925156
"36","Aplicativo","3","Vitória",0.00201477501678979,4.33333333333333,0,17.0894326285602,17.0203535020085,888.650496685132,885.058382104442
"37","Aplicativo","3","Zona Rural",0.00134318334452653,4.33333333333333,0,29.3098194052283,10.564175310927,1524.11060907187,549.337116168205
"38","Aplicativo","4","Belo Horizonte",0.00335795836131632,5.30058161518441,1.93792558049982,26.6977657159963,15.9920689718373,1622.74480075251,854.554890735522
"39","Aplicativo","4","Brasil Urbano",0.0241773002014775,5.12521612461086,5.64695451000761,35.2745747700245,70.1351811803916,906.899088982897,652.483745696956
"40","Aplicativo","4","Brasília",0.00268636668905306,4.33333333333333,0,47.2065269966973,38.8639304711537,2454.73940382826,2020.92438449999
"41","Aplicativo","4","Campo Grande",0.00335795836131632,6.64180616356941,3.87585116099964,13.9128236676299,5.4524334017024,961.701226797116,330.629355502502
"42","Aplicativo","4","Cuiabá",0.00134318334452653,4.33333333333333,0,26.9676599996558,4.19314321243623,1402.3183199821,218.043447046684
"43","Aplicativo","4","Goiânia",0.00268636668905306,6.45953196374671,2.50185116648838,31.4023102274049,9.97573890329266,2325.94899110563,733.651802878359
"44","Aplicativo","4","Maceió",0.00134318334452653,4.33333333333333,0,12.0494004743866,0.0424264068711932,626.568824668102,2.20617315730203
"45","Aplicativo","4","Manaus",0.00470114170584285,6.17039559891272,3.40944843403425,18.4537929895398,11.7672173249001,1349.51640954854,1103.87391899101
"46","Aplicativo","4","Porto Alegre",0.00671591672263264,8.38493663145702,5.93805471742729,14.6917477987476,8.29326202965953,1462.04141778583,1170.56142549728
"47","Aplicativo","4","Recife",0.0073875083948959,5.23529520964218,7.43184521046579,29.8089696317705,22.2611244406844,722.92212813064,634.988479345742
"48","Aplicativo","4","Rio de Janeiro",0.00402955003357958,5.89046113056121,2.23772371114206,22.1762000004559,14.3445545126597,1787.69120610637,1519.55773397394
"49","Aplicativo","4","Salvador",0.00268636668905306,4.96900327241461,3.40342964277702,26.4946796866561,17.8086039013918,1571.91185413224,975.493889200064
"50","Aplicativo","4","São Luís",0.00201477501678979,4.33333333333333,0,15.4193027495212,9.01332532050926,801.803742975102,468.692916666481
"51","Aplicativo","4","São Paulo",0.00335795836131632,10.7031592506335,7.25105356329532,20.9363875613322,26.2226682890967,2031.43214088606,1359.03634005865
"52","Aplicativo","4","Vitória",0.00134318334452653,4.33333333333333,0,14.6370812862178,8.1105147802097,761.128226883327,421.746768570904
"53","Aplicativo","4","Zona Rural",0.00201477501678979,0.600773351443983,4.81125224324688,150.739230236656,83.5352914940745,637.472729683986,287.684529997704
"54","Aplicativo","5","Brasil Urbano",0.025520483546004,5.03442039260946,5.28938895622804,21.8987103434969,21.9558224947213,1007.11229194246,910.167447435038
