"","Modo","casa","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Apartamento Não Pavimentada",0.012760241773002,7.84918988463106,5.98128986591011,24.4483236276143,14.9096823483616,1669.17664170594,914.613522296304
"2","Aplicativo","Apartamento Pavimentada",0.355271994627267,8.18987546903145,7.88913388682054,43.5937746701122,77.7476711617734,2275.02365007305,2353.21457077919
"3","Aplicativo","Casa Não Pavimentada",0.0805910006715917,4.94267013448901,5.09077267087764,37.4710019154999,56.1529197607492,1136.05894477558,1313.36531096943
"4","Aplicativo","Casa Pavimentada",0.55137676292814,5.69659859514133,5.05413494678765,34.6803691863937,53.9126625267212,1463.76679964682,1307.03023655037
"5","Táxi","Apartamento Não Pavimentada",0.00239856086348191,8.02138731596533,5.69659358311425,12.5420265670603,8.54788206977541,1183.77195281366,1043.61516185834
"6","Táxi","Apartamento Pavimentada",0.110933439936038,5.36604509767752,5.11771197053512,105.1833505716,229.027939126737,2051.27644973935,2137.34138877372
"7","Táxi","Casa Não Pavimentada",0.321207275634619,3.99590038081979,4.11985805043614,40.7619970243711,82.7192074557506,921.255217114041,1601.86724738904
"8","Táxi","Casa Pavimentada",0.564461323206076,4.66726500458616,5.161745029137,46.7399089537312,104.429464717677,1031.88552341903,1615.07588828989
"9","Táxi","Habitação Irregular Pavimentada",0.000999400359784129,4.33333333333333,0,25.8264350716292,13.9560739464937,1342.97462372472,725.715845217672
"10","Transporte Privado","Apartamento Não Pavimentada",0.00330623306233062,5.34665520257334,4.15631238417461,141.603860709194,215.260711859144,4754.90411193567,5216.71295942694
"11","Transporte Privado","Apartamento Pavimentada",0.0920325203252032,5.48234290601747,4.74597686304652,279.583743809001,495.9951443912,6393.0607193592,5926.93294986815
"12","Transporte Privado","Casa Não Pavimentada",0.333983739837398,4.62852810234816,3.99830515987215,171.363611257347,429.771120179163,3367.67942535266,4482.14199456472
"13","Transporte Privado","Casa Pavimentada",0.570054200542005,5.06775031751731,4.33158996812905,216.202649734764,498.472965522849,4637.88227109514,5438.46746808591
"14","Transporte Privado","Habitação Irregular Não Pavimentada",0.00010840108401084,3.36964855959334,1.89541356769244,73.3698530695161,38.3133149994881,2744.53738085852,2119.25878891654
"15","Transporte Privado","Habitação Irregular Pavimentada",0.000569105691056911,4.77878774933756,4.60543732017416,202.060920934874,193.09109812127,4283.76203047658,3765.77500149767
"16","Transporte Público","Apartamento Não Pavimentada",0.00518585962550968,9.84839187681968,10.5067430122028,39.4494551284856,77.9124867210672,1455.27904813814,1421.84538726751
"17","Transporte Público","Apartamento Pavimentada",0.10300463164562,12.8961531727644,10.7748206445834,44.7531593047335,132.000461462582,1625.49562131493,1795.25802077905
"18","Transporte Público","Casa Não Pavimentada",0.269110486520724,6.91490543934218,7.37915086207778,44.6411080634639,122.596649651128,1098.15657534718,1458.27653780109
"19","Transporte Público","Casa Pavimentada",0.620878033332014,11.2949209986356,10.3069648845946,38.7091250084688,103.841320207581,1388.54568456472,1452.24448869865
"20","Transporte Público","Habitação Irregular Não Pavimentada",0.000118760144095642,2.57112314830586,2.3094010767585,310.946208903317,345.453346391858,2619.99168074067,834.388626320693
"21","Transporte Público","Habitação Irregular Pavimentada",0.00174181544673608,12.2907454756951,10.488648404851,18.472913434487,64.6395395679703,1277.32007816352,917.022346729725
