"","Modo","RM","share","frequencia","frequencia_sd","ticket","ticket_sd","gasto","gasto_sd"
"1","Aplicativo","Belém",0.00134318334452653,4.83989070730912,3.06412938514171,7.86520113150145,3.41886128703696,482.75534363643,623.979307990257
"2","Aplicativo","Belo Horizonte",0.0617864338482203,6.84245161482196,6.65740318345705,42.2859326903751,68.7395254340842,1659.24969099093,1627.06787698559
"3","Aplicativo","Brasil Urbano",0.280053727333781,5.48104011942736,5.69141146584477,35.2302980410933,55.8224804113199,1345.89983545748,1312.85823827901
"4","Aplicativo","Brasília",0.0570852921423774,6.96369523517332,7.09189601635231,59.5734723649014,104.826208631015,1985.43789373181,2236.69860904688
"5","Aplicativo","Campo Grande",0.0335795836131632,7.08495855183947,6.60910181169647,29.0734735214697,39.5379785798054,1453.09984630878,1457.98084712506
"6","Aplicativo","Cuiabá",0.0188045668233714,6.53944501664212,4.7990176341406,38.8501997808518,81.6494366053112,1465.69016088865,835.29483975205
"7","Aplicativo","Curitiba",0.0073875083948959,6.70491958583069,7.28482579535619,33.3688236560079,40.5562301065391,1471.77475084858,1656.92318333163
"8","Aplicativo","Florianópolis",0.0134318334452653,6.55592958815642,7.87881532935961,61.1271104523479,84.0379995832086,1362.45992701227,1158.55312592179
"9","Aplicativo","Fortaleza",0.0376091336467428,5.6502309991242,7.062328162616,23.0700054791008,19.6180146265617,1225.99259610603,1611.56880429188
"10","Aplicativo","Goiânia",0.0275352585627938,7.07351477138395,6.41008267431855,29.235840737362,45.2717630459039,1790.05446270107,1591.31785646746
"11","Aplicativo","Maceió",0.0167897918065816,3.76694599214092,2.65622957508487,57.0844407840831,65.0107044826722,1319.93500457163,1111.33824627908
"12","Aplicativo","Manaus",0.0362659503022163,6.04081163481773,3.71997126260141,19.2601444700795,16.553724080701,1236.76015881707,1115.96365676918
"13","Aplicativo","Porto Alegre",0.0785762256548019,8.33601283306373,6.79361641232574,35.4207573238065,81.099344216289,1773.44305508826,1490.52641136163
"14","Aplicativo","Recife",0.0799194089993284,5.07877236593394,4.62038142154159,28.5121085688166,24.769584853335,1235.06640002949,1427.80601083664
"15","Aplicativo","Rio de Janeiro",0.0732034922766958,7.42093261648094,6.25415631800543,39.3724218118763,51.9429552248421,2541.79071537384,2474.94710802412
"16","Aplicativo","Salvador",0.0490261920752183,4.72656607548097,3.07824013363337,62.1172021124102,107.22442780289,1485.17637907887,1164.61078196185
"17","Aplicativo","São Luís",0.012760241773002,5.88210586257378,6.32085566788777,22.3622660991159,21.8783932129646,1233.6864976776,1109.49679502501
"18","Aplicativo","São Paulo",0.0624580255204835,9.30956307650134,10.4293485214211,39.7293935326007,69.2934569026557,2766.83979565933,3350.11081596008
"19","Aplicativo","Vitória",0.0315648085963734,5.13278166607104,4.55870446637624,30.7405995022107,33.7541462851426,1454.80892690333,1536.27624580726
"20","Aplicativo","Zona Rural",0.0208193418401612,4.80235737516488,5.36426959534262,56.3530819703469,51.0113592736582,1581.99159608348,1701.80129151602
"21","Táxi","Belém",0.0105936438137118,5.93091721847806,5.42414819559705,23.0373727598806,33.7242395910448,1102.69546961026,1153.72173255441
"22","Táxi","Belo Horizonte",0.00979412352588447,3.70529148965127,4.30476366062613,79.0589953153889,102.574223527343,1670.58192212181,3041.37919824203
"23","Táxi","Brasil Urbano",0.578652808315011,4.64632023517165,5.04769046251243,45.5859248330136,92.2833875073299,962.882872241927,1682.7295912997
"24","Táxi","Brasília",0.00779532280631621,1.8415151726111,2.39172487511474,156.839342130269,164.642592562686,1367.40550162593,1739.55248808748
"25","Táxi","Campo Grande",0.00379772136717969,4.3518470897045,4.12594132445743,29.8950847869826,33.169656628577,1043.94578655792,1541.50190300209
"26","Táxi","Cuiabá",0.00299820107935239,2.16758194572634,2.59690495473272,81.5380914928627,99.3087658661467,955.768368075224,1354.06234127004
"27","Táxi","Curitiba",0.00339796122326604,2.02684092266084,2.54886877381787,62.6149140909379,60.1299420128657,596.14917116501,554.783704540364
"28","Táxi","Florianópolis",0.000599640215870478,1.81810433164708,2.3094010767585,65.4309703421571,39.0512483795333,885.327700660404,911.482309208467
"29","Táxi","Fortaleza",0.0143913651808915,3.91124348229158,3.73606493330626,44.1935969489193,48.4133089296124,981.70471028145,1139.81986331778
"30","Táxi","Goiânia",0.00319808115130921,3.94714992814175,4.67533916377158,54.1659709822641,75.8674441130713,851.354052352367,679.691606755103
"31","Táxi","Maceió",0.0113931641015391,5.17880143911861,4.12516507690586,42.7093633722324,51.1852593478406,1322.85897749862,1728.40893522581
"32","Táxi","Manaus",0.0281830901459125,5.76142689185353,5.98697505540846,58.1178105766975,261.541678344768,983.949829778481,1477.37224121906
"33","Táxi","Porto Alegre",0.0123925644613232,5.36209717713913,5.16683298663855,54.3342516149439,88.6607247889451,1623.96560745941,1229.89633103682
"34","Táxi","Recife",0.021786927843294,6.83362141305002,7.02997213179548,32.0457060269212,62.9006767712571,1270.69763338851,1433.18117257855
"35","Táxi","Rio de Janeiro",0.0375774535278833,5.94949565471879,5.21720087461237,45.6635753325707,63.7678040865478,2175.28342316163,2320.81585264365
"36","Táxi","Salvador",0.018388966620028,6.43549992529288,6.30177551027802,45.2747727925509,78.3788534278182,1533.08107264376,1565.29798396676
"37","Táxi","São Luís",0.00879472316610034,5.74435068589172,5.26961585921925,30.3052969686778,48.2836752206358,1289.62612388218,1020.54572310048
"38","Táxi","São Paulo",0.018388966620028,4.49303538989391,4.46771790345486,164.129295488402,519.859958600279,1962.65745287033,2411.3339978826
