"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Branca_Interior Urbano","ride_hailing",0.214432770256098,0.149958543798672,0.306627497139724,4.43218845307986e-17
"2","Branca_RM da Capital","ride_hailing",0.672346139543293,0.446576307446299,1.01225551786159,0.057292900289246
"3","Parda_Capital","ride_hailing",0.827157249955425,0.649372541508368,1.05361571735784,0.12438435070468
"4","Parda_Interior Urbano","ride_hailing",0.252208471805671,0.162403133406481,0.391674174730015,9.41957098933933e-10
"5","Parda_RM da Capital","ride_hailing",0.362804431151307,0.255043936911498,0.516095606337426,1.8323206667028e-08
"6","Preta_Capital","ride_hailing",0.810722677448714,0.572476947497549,1.14811829996425,0.23730220714352
"7","Preta_Interior Urbano","ride_hailing",0.230737314670552,0.127230122297946,0.418452072667992,1.42775426704801e-06
"8","Preta_RM da Capital","ride_hailing",0.688707133967384,0.38593226914758,1.22901750979571,0.206987963696312
"9","Branca_Interior Urbano","transporte_pub",0.382869543327447,0.339421049065474,0.431879777672512,1.86887132654473e-53
"10","Branca_RM da Capital","transporte_pub",0.863965432463797,0.751294822515631,0.99353309263199,0.0403349228390744
"11","Parda_Capital","transporte_pub",1.22428658678008,1.0960028122183,1.36758558450767,0.000343480622627287
"12","Parda_Interior Urbano","transporte_pub",0.407364715561704,0.362567656786619,0.457696676409092,3.29978764587201e-50
"13","Parda_RM da Capital","transporte_pub",1.11552656196589,0.958396152199517,1.29841872548794,0.158210846355102
"14","Preta_Capital","transporte_pub",1.56861867220659,1.3336511119235,1.84498368186139,5.72475416052338e-08
"15","Preta_Interior Urbano","transporte_pub",0.54362481267341,0.455064410139893,0.649420016967162,2.10106425938974e-11
"16","Preta_RM da Capital","transporte_pub",1.41601273585305,1.17358392672709,1.70852038992206,0.000286284145893669
"17","Branca_Interior Urbano","transporte_ind",2.98251661811855,2.64172832179716,3.36726729389864,3.1652496808027e-67
"18","Branca_RM da Capital","transporte_ind",1.32516895530914,1.139883703503,1.54057186247903,0.000251768704946932
"19","Parda_Capital","transporte_ind",0.855756411556857,0.759075547418509,0.96475118769293,0.0109134741873428
"20","Parda_Interior Urbano","transporte_ind",2.23526503025688,1.97876060162495,2.5250198287687,1.60304618223612e-37
"21","Parda_RM da Capital","transporte_ind",1.04883749654253,0.89262996873458,1.23238086629904,0.562274226425088
"22","Preta_Capital","transporte_ind",0.682956641845641,0.569797249159586,0.818589025006753,3.77016138142769e-05
"23","Preta_Interior Urbano","transporte_ind",1.92252831265632,1.61520456789106,2.28832631261755,2.29924028373502e-13
"24","Preta_RM da Capital","transporte_ind",0.688397519950603,0.558918035461834,0.847872345150868,0.000449184086813749
"25","Branca_Interior Urbano","taxi",0.937192405435188,0.747900268837322,1.17439402204098,0.57312567160483
"26","Branca_RM da Capital","taxi",0.721926780149118,0.513298341486354,1.01535156803215,0.0612216275976291
"27","Parda_Capital","taxi",0.886212331804332,0.692266496209808,1.13449415989654,0.337816389938423
"28","Parda_Interior Urbano","taxi",1.94080633299499,1.57701160225201,2.38852346857465,4.21930303221505e-10
"29","Parda_RM da Capital","taxi",0.836515571542002,0.626144510621308,1.11756677502114,0.227172151309283
"30","Preta_Capital","taxi",0.777429217456486,0.540930515789319,1.1173268479281,0.17375664783749
"31","Preta_Interior Urbano","taxi",1.34440816543227,1.00079879842482,1.80599069276033,0.0494521122538378
"32","Preta_RM da Capital","taxi",1.23182672397364,0.7642636836564,1.98543658470867,0.391996138046056
