"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Homem_Interior Urbano","ride_hailing",0.206908432121836,0.135714577662614,0.315449526649559,2.93327839001855e-13
"2","Homem_RM da Capital","ride_hailing",0.55828868493178,0.385088298901268,0.809389058592945,0.00211235103623059
"3","Mulher_Capital","ride_hailing",1.68016544845989,1.34555042469843,2.09799341769826,4.80651504472307e-06
"4","Mulher_Interior Urbano","ride_hailing",0.522638597920135,0.361711294039592,0.755163326489956,0.00055507774739507
"5","Mulher_RM da Capital","ride_hailing",1.0871611673864,0.776583192255528,1.52194821579921,0.626376001975145
"6","Homem_Interior Urbano","transporte_pub",0.292622793891136,0.258993254916582,0.330619033040972,8.816692959522e-83
"7","Homem_RM da Capital","transporte_pub",0.868476593497009,0.763545411916002,0.987828073721886,0.0319031793865126
"8","Mulher_Capital","transporte_pub",2.74365619226987,2.46599915480663,3.0525757832107,1.04903963903348e-73
"9","Mulher_Interior Urbano","transporte_pub",1.1625138139689,1.03485962224641,1.3059146753981,0.0112072716345808
"10","Mulher_RM da Capital","transporte_pub",2.62737902571076,2.25619662472777,3.05962719254478,7.68451425130182e-35
"11","Homem_Interior Urbano","transporte_ind",3.36481666645821,2.98843347115114,3.78860406569925,2.68764227795071e-85
"12","Homem_RM da Capital","transporte_ind",1.23182768378878,1.07932962952453,1.40587212751389,0.00200095045839448
"13","Mulher_Capital","transporte_ind",0.245591582731216,0.219971308723883,0.274195875172675,3.75352816288266e-128
"14","Mulher_Interior Urbano","transporte_ind",0.594566072887685,0.528167344960845,0.669312138286948,1.07493089991893e-17
"15","Mulher_RM da Capital","transporte_ind",0.296218704326462,0.248107008200627,0.3536599849767,2.14152842259134e-40
"16","Homem_Interior Urbano","taxi",1.487236605021,1.18661882021883,1.86401284188842,0.000576640764684472
"17","Homem_RM da Capital","taxi",1.14214471872571,0.830867826432945,1.57003859941651,0.413023157894592
"18","Mulher_Capital","taxi",3.03096832438569,2.47870523904584,3.70627730910262,7.58814331083665e-27
"19","Mulher_Interior Urbano","taxi",5.22957522986169,4.22566929551103,6.47198234699423,7.46700996926763e-51
"20","Mulher_RM da Capital","taxi",2.51536475314471,1.89660450918205,3.33599325042806,1.69833835683443e-10
