"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Homem_Parda","ride_hailing",0.98487745262255,0.693120180703061,1.3994450366463,0.932255716951428
"2","Homem_Preta","ride_hailing",1.35527645955797,0.86950713082588,2.11243153358314,0.179515122463889
"3","Mulher_Branca","ride_hailing",2.37090827925131,1.83844792114326,3.05758243351642,0.0000000000327614902749722
"4","Mulher_Parda","ride_hailing",2.02294823027823,1.47566846056203,2.77319713184573,0.0000123012094658973
"5","Mulher_Preta","ride_hailing",2.047169968433,1.39024891584578,3.01449965677865,0.000288342291756816
"6","Homem_Parda","transporte_pub",1.05265256757219,0.949479389608161,1.16703684160391,0.329636710744815
"7","Homem_Preta","transporte_pub",1.49781718217011,1.30761497266512,1.71568570114449,0.00000000594926093915714
"8","Mulher_Branca","transporte_pub",3.03940741290169,2.74997354871427,3.3593041016416,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000184219576010752
"9","Mulher_Parda","transporte_pub",3.82094235002536,3.45323873744262,4.22779933629188,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139843367364765
"10","Mulher_Preta","transporte_pub",5.35744771231834,4.57632347240865,6.27190061263701,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000561533443615656
"11","Homem_Parda","transporte_ind",0.904326588037241,0.817285908911481,1.00063707071653,0.0515286084265009
"12","Homem_Preta","transporte_ind",0.666936496551271,0.580539786451874,0.766190880991336,0.0000000112669748653929
"13","Mulher_Branca","transporte_ind",0.258587513167237,0.234553847056455,0.285083799755036,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179815525123417
"14","Mulher_Parda","transporte_ind",0.161180936842461,0.144724551910247,0.179508549575782,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000445087835685228
"15","Mulher_Preta","transporte_ind",0.120395249377045,0.100310295067504,0.144501778833433,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000946355680723013
"16","Homem_Parda","taxi",1.62572692316877,1.29868675364716,2.03512357486775,0.0000227880604297002
"17","Homem_Preta","taxi",1.2043059093439,0.83256637407289,1.74202654400459,0.323679139726143
"18","Mulher_Branca","taxi",3.00804899027029,2.46349170577714,3.67298120251301,0.00000000000000000000000000733838028456167
"19","Mulher_Parda","taxi",4.88648772334263,4.01015569309602,5.9543229983531,0.00000000000000000000000000000000000000000000000000000359173569154673
"20","Mulher_Preta","taxi",3.77098979336614,2.87585831717386,4.94473734563046,0.00000000000000000000135527127070818
