"","transport","groups","oddsratio","int2.5","int97.5"
"1","ride_hailing","Belém",0.43609957620203,0.0596263237360193,3.18957850236714
"2","ride_hailing","Belo Horizonte",5.03592139729993,3.47382249624948,7.30046061569462
"3","ride_hailing","Brasília",2.65724834210858,1.77254466631498,3.98352091533928
"4","ride_hailing","Campo Grande",4.8013833911184,2.86297673346813,8.05220741021584
"5","ride_hailing","Cuiabá",7.30488593390733,3.47302066456861,15.3645381531369
"6","ride_hailing","Curitiba",1.04345252219065,0.362125081896279,3.00667703094339
"7","ride_hailing","Fortaleza",1.50930933752616,0.891166410621976,2.55621694129354
"8","ride_hailing","Goiânia",5.14192215122585,2.88571946428471,9.1621391949202
"9","ride_hailing","Manaus",2.72021374509398,1.76123390679196,4.20135155839484
"10","ride_hailing","Porto Alegre",6.7126498697355,4.69102244693681,9.60551111902768
"11","ride_hailing","Recife",4.63052077027698,3.33934313368712,6.42094021056522
"12","ride_hailing","Rio de Janeiro",2.16437093660689,1.48583954313356,3.15276408739884
"13","ride_hailing","Salvador",4.51908768034311,3.05860780491145,6.67694414100277
"14","ride_hailing","São Paulo",2.2876109407525,1.52572173007738,3.42995954838049
"15","transporte_pub","Belém",1.37398062617397,1.01392142719544,1.8619024220873
"16","transporte_pub","Belo Horizonte",2.61312787186321,2.19293118527333,3.11384019734175
"17","transporte_pub","Brasília",1.77784419046617,1.55724194196105,2.02969742877203
"18","transporte_pub","Campo Grande",0.702299356724417,0.508925076600896,0.969149309265263
"19","transporte_pub","Cuiabá",0.929464851070076,0.67704169403598,1.2759995683941
"20","transporte_pub","Curitiba",1.35805841738117,1.08243311783698,1.70386755045462
"21","transporte_pub","Fortaleza",2.74743071236322,2.33021692150325,3.23934456469706
"22","transporte_pub","Goiânia",0.779741131288218,0.562349070269106,1.08117228953838
"23","transporte_pub","Manaus",2.07576056912985,1.74813969146902,2.46478125368428
"24","transporte_pub","Porto Alegre",2.01338094549981,1.6590044208061,2.44345511130827
"25","transporte_pub","Recife",3.36993105237937,2.96117100802839,3.83511633303207
"26","transporte_pub","Rio de Janeiro",4.87008882281833,4.30244807814909,5.51262088730271
"27","transporte_pub","Salvador",2.83394675830791,2.40008697114871,3.34623466793791
"28","transporte_pub","São Paulo",2.55613538755222,2.19902591549722,2.97123743447079
"29","transporte_ind","Belém",0.507464437041988,0.36373519776252,0.707987999089588
"30","transporte_ind","Belo Horizonte",0.403237460091609,0.343456623927536,0.473423535588698
"31","transporte_ind","Brasília",0.707669521121058,0.617528256002624,0.810968803865679
"32","transporte_ind","Campo Grande",1.39072945490395,1.00763358417032,1.91947593561998
"33","transporte_ind","Cuiabá",0.934519046406582,0.659452774750494,1.32431901348371
"34","transporte_ind","Curitiba",1.02799944943398,0.823580264518641,1.2831571050992
"35","transporte_ind","Fortaleza",0.426973825699221,0.361796142743064,0.503893287667517
"36","transporte_ind","Goiânia",1.20260270728417,0.932784673440617,1.55046851942008
"37","transporte_ind","Manaus",0.361535939906013,0.304575241547778,0.429149247914888
"38","transporte_ind","Porto Alegre",0.427412643766857,0.348258980007363,0.524556661964357
"39","transporte_ind","Recife",0.251710316495191,0.215332034994263,0.294234359656691
"40","transporte_ind","Rio de Janeiro",0.188837658458441,0.164147837364746,0.217241127416311
"41","transporte_ind","Salvador",0.294458997595725,0.247052350767459,0.350962461987227
"42","transporte_ind","São Paulo",0.457413739127666,0.387943718793644,0.539323924082002
"43","taxi","Belém",2.30219956462976,1.57589689885837,3.3632421253072
"44","taxi","Belo Horizonte",0.22593442145125,0.122061283756914,0.418202735751742
"45","taxi","Brasília",0.10281068457304,0.0467422039523262,0.226134755501855
"46","taxi","Campo Grande",0.250055584612293,0.123790000681062,0.505111843055041
"47","taxi","Cuiabá",0.204950487957295,0.0630508052338763,0.666204061282392
"48","taxi","Curitiba",0.100464172776597,0.0401868814357702,0.251152855138
"49","taxi","Fortaleza",0.576886695398419,0.41884453151534,0.794562741749725
"50","taxi","Goiânia",0.297066859688153,0.123572945098937,0.714142719948337
"51","taxi","Manaus",1.82375103611406,1.44817386990119,2.29673239578203
"52","taxi","Porto Alegre",0.579044013686812,0.383152192169066,0.875088219875263
"53","taxi","Recife",0.819505073052163,0.625353867664188,1.0739336549828
"54","taxi","Rio de Janeiro",0.922002198942279,0.688993166374748,1.23381202650714
"55","taxi","Salvador",0.980404699547366,0.693752877306164,1.38549821750198
"56","taxi","São Paulo",0.43028306861879,0.307096091804802,0.602884647772346
