"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Branca_25-34","ride_hailing",0.712391433975441,0.488416801265255,1.03907472856562,0.0783260610192695
"2","Branca_35-49","ride_hailing",0.478647162688,0.34164563491334,0.670586956005997,0.0000188943090904557
"3","Branca_50-64","ride_hailing",0.390211586912283,0.270938747176534,0.561990797356833,0.000000446917111320595
"4","Branca_65+","ride_hailing",0.47418095414215,0.260590197156521,0.862839737352465,0.0146097094703793
"5","Parda_15-24","ride_hailing",0.792074867158466,0.515483795031791,1.2170753013592,0.287577040607793
"6","Parda_25-34","ride_hailing",0.793574181705266,0.489825128488082,1.28568328826459,0.347687452583686
"7","Parda_35-49","ride_hailing",0.360607813763989,0.227120133025093,0.572551599083806,0.0000156850518664802
"8","Parda_50-64","ride_hailing",0.320340986795856,0.21377764377882,0.480023757430474,0.0000000367482013094329
"9","Parda_65+","ride_hailing",0.323991588238387,0.16421794194487,0.639214862919621,0.0011605330676542
"10","Preta_15-24","ride_hailing",1.42149648122592,0.782775479906538,2.58139440747291,0.247991826145805
"11","Preta_25-34","ride_hailing",0.478383968954633,0.26320876317438,0.869466574717232,0.0156150694730514
"12","Preta_35-49","ride_hailing",0.394754563029738,0.223231095419821,0.698071049374794,0.00140538004391735
"13","Preta_50-64","ride_hailing",0.328628021005424,0.170364626547816,0.63391314487242,0.000908627468016723
"14","Preta_65+","ride_hailing",1.35268117491126,0.661292599610313,2.76692399406487,0.408094187126286
"15","Branca_25-34","transporte_pub",0.38041626967343,0.323626264384715,0.447171797095597,0.000000000000000000000000000000335421386650074
"16","Branca_35-49","transporte_pub",0.300730232760856,0.260020131884345,0.347814118241527,0.00000000000000000000000000000000000000000000000000000000364463648987149
"17","Branca_50-64","transporte_pub",0.39710171697472,0.341111110427578,0.462282724906288,0.000000000000000000000000000000036200860808096
"18","Branca_65+","transporte_pub",0.22994068472338,0.185667020329383,0.284771729504022,0.000000000000000000000000000000000000000172592504811885
"19","Parda_15-24","transporte_pub",0.90625335412956,0.767310831060925,1.07035520498976,0.246419877622673
"20","Parda_25-34","transporte_pub",0.392867180373591,0.333417513461472,0.462916959017304,0.000000000000000000000000000166300038326849
"21","Parda_35-49","transporte_pub",0.350088237205559,0.303701973766729,0.403559358899111,0.000000000000000000000000000000000000000000000258182014488526
"22","Parda_50-64","transporte_pub",0.509875873621285,0.43929337954841,0.591799054127151,0.00000000000000000117427377328234
"23","Parda_65+","transporte_pub",0.291782963475322,0.235150659495485,0.362054258989123,0.000000000000000000000000000123163151235807
"24","Preta_15-24","transporte_pub",1.14433904294583,0.888319887250412,1.47414446530457,0.29679868043711
"25","Preta_25-34","transporte_pub",0.536846127720949,0.415426432038989,0.693754038312923,0.00000205501349364803
"26","Preta_35-49","transporte_pub",0.512011881107056,0.425722815564063,0.615790737096016,0.00000000000137762783949635
"27","Preta_50-64","transporte_pub",0.752647053399705,0.61724687596401,0.917748811780601,0.00500607999333461
