"","group","transport","odds_ratio","int2.5","int97.5","p_value"
"1","Apartamento_Interior Urbano","ride_hailing",0.705822841804019,0.395418580347846,1.25989497907269,0.238675081778522
"2","Apartamento_RM da Capital","ride_hailing",0.561038357830682,0.339737166281641,0.92649280148646,0.0239813410342729
"3","Casa_Capital","ride_hailing",0.475688417585806,0.361651282688303,0.625684136782978,0.000000113578586372343
"4","Casa_Interior Urbano","ride_hailing",0.11661258554537,0.0840806039790374,0.161731653485346,0.000000000000000000000000000000000000326178995359675
"5","Casa_RM da Capital","ride_hailing",0.34326459911116,0.239848560634186,0.491270761397892,0.00000000543912493854245
"6","Apartamento_Interior Urbano","transporte_pub",0.744079114540469,0.527849281945301,1.04888601279314,0.0915843933763467
"7","Apartamento_RM da Capital","transporte_pub",0.76641906643332,0.579181118976894,1.01418738654696,0.0627615672757264
"8","Casa_Capital","transporte_pub",1.03393554769791,0.883408143046461,1.2101119117001,0.677640612874122
"9","Casa_Interior Urbano","transporte_pub",0.344510167229353,0.296107961983847,0.400824261965882,0.00000000000000000000000000000000000000000245760421933124
"10","Casa_RM da Capital","transporte_pub",0.932425261733069,0.79313224471711,1.09618146848648,0.396743695707621
"11","Apartamento_Interior Urbano","transporte_ind",1.80479369511473,1.29323861817288,2.51870013480409,0.000521747708208099
"12","Apartamento_RM da Capital","transporte_ind",1.62801025586523,1.15378936370865,2.2971414684246,0.00555781218747877
"13","Casa_Capital","transporte_ind",1.40010948485221,1.19019571979384,1.64704555475354,0.0000498075377597362
"14","Casa_Interior Urbano","transporte_ind",3.76367153877128,3.23406382086515,4.38000739514398,0.00000000000000000000000000000000000000000000000000000000000000151860221515292
"15","Casa_RM da Capital","transporte_ind",1.59229490423183,1.34657521105478,1.88285291547633,0.0000000565923732151009
"16","Apartamento_Interior Urbano","taxi",0.380158043577427,0.182981777868882,0.789806175127308,0.00956338304456552
"17","Apartamento_RM da Capital","taxi",0.732258696237273,0.370266126825011,1.44815514941372,0.370483485491912
"18","Casa_Capital","taxi",0.382364177274185,0.293129675170472,0.498763436276246,0.00000000000157431954149612
"19","Casa_Interior Urbano","taxi",0.832428961754668,0.659263940843425,1.05107823049058,0.123318253793933
"20","Casa_RM da Capital","taxi",0.425985788814852,0.321707674335369,0.564064542902517,0.00000000278673897579559
